district,year,month,min_temperature_C,max_temperature_C,mean_temperature_C,avg_wind_speed_kmh,precipitation_sum_mm,precipitation_hours_h,extreme_weather_days,avg_shortwave_radiation_MJ_m2,avg_evapotranspiration_mm
Ampara,2018,3,25.5,32.0,28.8,23.4,44.9,15,0,24.6,7.14
Ampara,2018,4,23.6,33.7,28.7,15.5,80.4,33,0,25.44,7.91
Ampara,2018,5,26.6,36.1,31.4,20.4,175.5,51,0,21.77,8.31
Ampara,2018,6,29.0,33.9,31.4,14.8,205.8,98,0,22.49,7.05
Ampara,2018,7,27.7,36.1,31.9,18.5,106.1,67,0,22.86,8.08
Ampara,2018,8,26.7,38.8,32.8,28.9,166.3,31,1,22.5,8.63
Ampara,2018,9,24.4,33.3,28.8,17.5,128.4,53,0,24.48,8.0
Ampara,2018,10,24.1,33.6,28.9,19.5,261.3,81,1,20.7,7.74
Ampara,2018,11,24.5,33.6,29.1,27.5,155.2,47,0,19.27,7.69
Ampara,2018,12,20.0,31.9,25.9,23.5,212.9,99,0,25.58,7.93
Ampara,2019,1,23.1,27.3,25.2,17.3,252.7,66,0,21.22,6.78
Ampara,2019,2,21.4,29.8,25.6,21.1,293.1,84,1,24.69,7.35
Ampara,2019,3,24.6,30.9,27.8,23.4,61.3,29,0,24.63,7.7
Ampara,2019,4,25.6,34.3,29.9,17.6,41.0,40,0,24.39,7.88
Ampara,2019,5,27.6,36.2,31.9,28.1,134.9,54,0,23.2,8.2
Ampara,2019,6,26.9,34.4,30.6,25.8,143.4,40,0,21.81,7.45
Ampara,2019,7,28.2,35.7,32.0,22.5,202.4,98,0,21.87,8.22
Ampara,2019,8,27.0,34.2,30.6,26.8,181.8,60,0,22.88,7.88
Ampara,2019,9,23.8,33.2,28.5,28.4,200.5,62,1,21.33,7.34
Ampara,2019,10,24.9,33.1,29.0,16.5,238.6,96,0,18.23,6.93
Ampara,2019,11,24.7,32.8,28.8,21.6,244.6,93,0,19.8,7.2
Ampara,2019,12,21.1,27.8,24.5,16.6,301.3,101,0,19.16,6.8
Ampara,2020,1,20.6,26.8,23.7,16.6,181.7,32,0,25.47,7.05
Ampara,2020,2,19.5,30.6,25.1,25.1,166.4,60,0,26.49,7.24
Ampara,2020,3,24.3,34.7,29.5,21.0,59.9,44,0,22.54,7.78
Ampara,2020,4,24.2,31.8,28.0,19.3,23.7,40,0,26.05,7.63
Ampara,2020,5,29.5,35.2,32.4,24.5,162.8,32,0,21.61,7.84
Ampara,2020,6,26.8,33.8,30.3,17.5,106.1,38,0,24.81,7.74
Ampara,2020,7,26.3,33.9,30.1,22.6,160.0,64,0,21.18,7.84
Ampara,2020,8,27.2,32.5,29.9,21.0,129.8,41,0,25.88,8.23
Ampara,2020,9,25.0,32.0,28.5,24.3,92.2,23,0,21.0,7.37
Ampara,2020,10,25.2,30.4,27.8,17.0,266.3,54,0,21.88,7.09
Ampara,2020,11,25.3,33.0,29.1,22.5,209.3,100,0,23.41,7.92
Ampara,2020,12,20.9,28.5,24.7,25.6,247.5,96,1,22.7,7.26
Ampara,2021,1,20.0,28.4,24.2,23.1,256.9,93,1,22.05,7.09
Ampara,2021,2,21.5,28.9,25.2,22.9,255.5,74,1,26.23,7.13
Ampara,2021,3,24.1,30.7,27.4,14.4,81.1,32,0,20.73,6.69
Ampara,2021,4,25.8,32.5,29.1,16.2,83.0,40,0,22.24,7.3
Ampara,2021,5,25.8,35.1,30.5,19.5,104.3,32,0,21.31,7.68
Ampara,2021,6,29.5,36.6,33.0,25.3,155.7,52,1,18.63,8.09
Ampara,2021,7,27.2,34.7,31.0,21.1,113.0,61,0,28.31,8.73
Ampara,2021,8,28.2,35.8,32.0,17.0,164.7,43,0,22.55,8.08
Ampara,2021,9,24.2,33.2,28.7,25.4,144.7,43,0,22.53,7.66
Ampara,2021,10,26.3,30.2,28.2,19.1,202.7,88,0,20.66,7.1
Ampara,2021,11,22.2,29.9,26.0,16.9,189.3,35,0,22.93,7.94
Ampara,2021,12,22.6,30.6,26.6,16.2,297.5,59,0,21.67,7.46
Ampara,2022,1,21.3,27.3,24.3,19.6,235.4,58,0,23.09,6.7
Ampara,2022,2,21.2,28.4,24.8,28.2,177.7,54,0,22.44,6.46
Ampara,2022,3,22.9,31.3,27.1,17.4,86.8,23,0,24.31,7.54
Ampara,2022,4,25.5,30.8,28.1,22.0,65.3,45,0,28.71,7.75
Ampara,2022,5,27.6,35.8,31.7,20.5,127.8,40,0,18.85,8.32
Ampara,2022,6,27.8,35.5,31.6,28.1,192.6,61,0,21.87,7.96
Ampara,2022,7,29.0,37.7,33.4,15.6,160.9,57,0,25.62,8.8
Ampara,2022,8,25.8,35.1,30.5,16.0,181.7,34,0,26.07,8.06
Ampara,2022,9,24.0,32.6,28.3,22.4,147.6,32,0,24.23,7.51
Ampara,2022,10,25.1,30.6,27.9,24.6,203.6,77,0,20.81,7.34
Ampara,2022,11,25.0,33.4,29.2,24.5,160.6,40,0,23.08,7.93
Ampara,2022,12,19.2,30.3,24.8,26.4,131.6,66,0,26.56,7.48
Ampara,2023,1,18.7,28.0,23.4,25.9,300.2,98,2,19.89,6.3
Ampara,2023,2,21.9,29.2,25.5,26.0,241.2,72,1,20.32,7.18
Ampara,2023,3,24.2,33.0,28.6,12.7,85.8,17,0,26.98,7.84
Ampara,2023,4,23.5,31.8,27.6,19.1,70.2,18,0,25.49,7.58
Ampara,2023,5,28.6,35.6,32.1,24.3,161.9,65,0,19.53,7.71
Ampara,2023,6,28.3,33.0,30.6,26.9,122.8,54,0,24.93,8.14
Ampara,2023,7,28.7,36.4,32.5,16.8,135.4,44,0,27.4,9.02
Ampara,2023,8,28.1,37.3,32.7,19.0,149.2,67,0,24.81,8.37
Ampara,2023,9,24.7,32.9,28.8,21.6,130.6,36,0,21.0,7.11
Ampara,2023,10,24.8,30.2,27.5,19.7,187.6,46,0,24.48,7.24
Ampara,2023,11,24.9,28.6,26.8,22.4,311.5,98,1,23.4,6.99
Ampara,2023,12,20.6,30.2,25.4,27.7,223.8,89,1,25.0,7.45
Ampara,2024,1,21.9,30.2,26.0,17.1,188.7,59,1,26.58,7.89
Ampara,2024,2,24.0,30.0,27.0,17.7,258.9,87,1,23.77,7.04
Ampara,2024,3,24.1,30.7,27.4,15.3,108.1,61,0,25.23,7.74
Ampara,2024,4,23.8,31.6,27.7,15.2,93.9,37,0,26.27,7.74
Ampara,2024,5,26.9,36.3,31.6,23.9,122.9,51,0,22.17,8.13
Ampara,2024,6,27.1,33.3,30.2,22.6,93.2,20,0,23.36,7.09
Ampara,2024,7,26.7,35.5,31.1,17.6,107.3,32,0,25.37,8.09
Ampara,2024,8,27.8,33.5,30.6,28.6,134.3,39,0,26.28,9.22
Ampara,2024,9,23.2,33.0,28.1,20.7,155.3,68,0,20.45,7.23
Ampara,2024,10,24.8,29.9,27.4,24.5,318.9,87,1,18.37,6.95
Ampara,2024,11,22.7,33.4,28.0,18.1,201.4,61,0,19.03,7.64
Ampara,2024,12,20.9,27.1,24.0,19.7,190.9,47,0,26.55,7.57
Anuradhapura,2010,1,20.6,28.2,24.4,17.7,167.7,50,0,25.58,7.36
Anuradhapura,2010,2,18.8,29.8,24.3,12.1,158.3,43,0,26.67,7.72
Anuradhapura,2010,3,24.6,33.9,29.2,15.2,10.0,31,0,20.37,7.86
Anuradhapura,2010,4,23.8,33.9,28.9,15.0,44.0,20,0,25.18,8.24
Anuradhapura,2010,5,29.1,38.1,33.6,19.6,166.0,68,0,22.7,8.43
Anuradhapura,2010,6,26.8,36.7,31.8,19.3,123.1,66,0,23.07,8.53
Anuradhapura,2010,7,28.3,35.6,32.0,12.2,103.0,68,0,28.73,8.34
Anuradhapura,2010,8,28.3,38.8,33.5,16.2,135.7,55,0,25.87,8.5
Anuradhapura,2010,9,24.8,32.7,28.8,18.5,136.4,65,0,22.34,7.78
Anuradhapura,2010,10,22.5,31.7,27.1,14.9,166.5,56,0,24.85,7.25
Anuradhapura,2010,11,22.4,31.8,27.1,11.8,135.7,45,0,21.2,7.36
Anuradhapura,2010,12,20.1,29.7,24.9,19.1,173.7,62,0,22.04,7.35
Anuradhapura,2011,1,17.9,29.2,23.5,17.6,240.4,97,0,25.33,7.4
Anuradhapura,2011,2,19.8,25.3,22.6,16.0,244.4,94,0,25.78,6.56
Anuradhapura,2011,3,23.8,32.1,28.0,11.9,44.3,34,0,23.59,7.37
Anuradhapura,2011,4,25.4,31.0,28.2,10.4,29.4,41,0,28.73,8.4
Anuradhapura,2011,5,26.9,35.9,31.4,17.3,86.5,43,0,23.97,8.29
Anuradhapura,2011,6,25.9,39.0,32.5,22.6,86.0,31,0,25.44,8.78
Anuradhapura,2011,7,28.0,36.4,32.2,19.0,93.3,42,0,25.93,8.69
Anuradhapura,2011,8,28.1,38.2,33.2,13.6,141.3,62,0,28.24,9.22
Anuradhapura,2011,9,22.3,31.6,27.0,18.0,144.5,43,0,20.26,6.88
Anuradhapura,2011,10,22.9,33.9,28.4,14.3,136.8,62,0,20.69,7.38
Anuradhapura,2011,11,23.0,33.9,28.4,19.0,213.2,59,0,20.72,7.82
Anuradhapura,2011,12,19.7,30.8,25.2,11.8,215.2,51,0,22.09,7.55
Anuradhapura,2012,1,18.4,29.3,23.9,11.3,174.1,35,0,26.31,7.79
Anuradhapura,2012,2,20.7,29.9,25.3,17.5,210.2,83,0,26.17,7.34
Anuradhapura,2012,3,22.0,35.0,28.5,11.3,84.1,44,0,26.13,8.44
Anuradhapura,2012,4,24.3,30.0,27.1,16.9,50.1,35,0,22.72,7.28
Anuradhapura,2012,5,26.3,37.2,31.8,12.4,143.3,56,0,22.35,8.3
Anuradhapura,2012,6,29.0,37.2,33.1,21.8,67.7,23,0,21.79,7.81
Anuradhapura,2012,7,26.9,34.9,30.9,19.5,125.8,65,0,24.23,8.24
Anuradhapura,2012,8,28.4,36.3,32.3,20.8,70.1,42,0,22.12,8.33
Anuradhapura,2012,9,22.5,31.2,26.9,19.1,91.4,41,0,22.24,6.66
Anuradhapura,2012,10,21.7,32.5,27.1,19.1,207.4,63,0,20.03,7.09
Anuradhapura,2012,11,23.3,31.8,27.6,16.0,204.9,84,0,17.26,6.55
Anuradhapura,2012,12,18.7,29.1,23.9,13.3,187.9,51,0,22.24,6.78
Anuradhapura,2013,1,20.2,29.4,24.8,18.6,146.2,32,0,24.89,7.44
Anuradhapura,2013,2,18.4,28.1,23.2,14.5,137.3,59,0,25.67,7.28
Anuradhapura,2013,3,23.7,34.4,29.0,10.8,37.0,38,0,22.5,7.88
Anuradhapura,2013,4,22.8,32.1,27.5,10.0,31.0,37,0,27.72,8.44
Anuradhapura,2013,5,27.1,37.6,32.4,20.8,70.5,31,0,21.52,8.15
Anuradhapura,2013,6,27.0,34.7,30.9,14.4,135.7,42,0,22.82,7.83
Anuradhapura,2013,7,27.2,35.4,31.3,18.9,145.7,37,0,27.32,8.57
Anuradhapura,2013,8,28.9,35.6,32.2,12.9,104.1,36,0,25.87,8.08
Anuradhapura,2013,9,23.3,34.9,29.1,16.4,114.5,51,0,20.34,7.4
Anuradhapura,2013,10,23.8,32.6,28.2,20.6,256.7,82,1,26.4,8.28
Anuradhapura,2013,11,23.0,36.5,29.8,15.0,175.2,55,0,22.07,8.33
Anuradhapura,2013,12,18.1,30.1,24.1,17.6,206.2,52,0,27.05,7.79
Anuradhapura,2014,1,19.3,28.5,23.9,15.6,143.4,47,0,26.45,7.36
Anuradhapura,2014,2,19.2,28.5,23.9,13.8,177.3,51,0,22.99,7.39
Anuradhapura,2014,3,22.7,35.2,29.0,11.3,48.5,28,0,25.69,8.67
Anuradhapura,2014,4,24.2,34.3,29.2,16.6,71.5,17,0,21.99,7.78
Anuradhapura,2014,5,27.0,35.8,31.4,19.6,121.9,44,0,22.2,7.64
Anuradhapura,2014,6,29.1,37.7,33.4,15.9,67.8,36,0,23.27,8.35
Anuradhapura,2014,7,27.9,38.4,33.1,21.6,97.7,43,0,24.39,8.32
Anuradhapura,2014,8,27.2,38.0,32.6,20.0,154.0,61,0,25.02,8.71
Anuradhapura,2014,9,23.5,32.5,28.0,20.8,118.8,56,0,19.37,7.56
Anuradhapura,2014,10,23.4,32.4,27.9,10.9,136.4,31,0,20.93,7.67
Anuradhapura,2014,11,22.6,33.1,27.9,16.3,250.2,87,0,19.39,7.93
Anuradhapura,2014,12,20.8,30.8,25.8,14.8,150.1,47,0,22.74,7.45
Anuradhapura,2015,1,17.2,31.0,24.1,19.2,120.9,66,0,23.43,7.46
Anuradhapura,2015,2,18.4,28.7,23.5,10.6,131.3,61,0,27.61,7.53
Anuradhapura,2015,3,22.4,33.9,28.1,18.0,33.7,43,0,27.29,7.92
Anuradhapura,2015,4,23.5,32.8,28.1,13.9,10.0,18,0,28.15,7.78
Anuradhapura,2015,5,29.2,38.3,33.8,13.2,115.7,59,0,25.49,8.88
Anuradhapura,2015,6,29.0,37.5,33.2,15.3,132.8,46,0,23.81,8.03
Anuradhapura,2015,7,27.3,36.0,31.6,12.8,143.4,45,0,25.12,8.91
Anuradhapura,2015,8,27.3,37.7,32.5,17.9,86.7,25,0,26.85,9.35
Anuradhapura,2015,9,23.5,35.0,29.2,18.7,128.0,36,0,20.88,7.87
Anuradhapura,2015,10,22.9,33.2,28.1,14.6,173.5,57,0,18.54,6.71
Anuradhapura,2015,11,23.8,33.6,28.7,19.8,178.2,59,0,22.86,8.34
Anuradhapura,2015,12,20.7,28.0,24.4,20.2,223.8,97,0,21.34,6.77
Anuradhapura,2016,1,19.3,29.5,24.4,20.4,198.3,36,0,25.56,7.29
Anuradhapura,2016,2,18.5,30.2,24.4,17.6,234.4,75,0,26.91,7.77
Anuradhapura,2016,3,22.0,31.7,26.9,16.2,27.1,35,0,27.1,8.16
Anuradhapura,2016,4,22.9,34.4,28.6,8.6,76.6,44,0,23.9,7.79
Anuradhapura,2016,5,27.8,37.3,32.5,15.7,83.8,34,0,23.82,8.75
Anuradhapura,2016,6,28.3,35.2,31.8,15.4,150.0,67,0,22.36,7.83
Anuradhapura,2016,7,29.0,36.9,33.0,17.0,128.3,45,0,25.09,8.23
Anuradhapura,2016,8,27.7,37.1,32.4,15.8,166.2,54,0,25.3,9.05
Anuradhapura,2016,9,23.6,31.7,27.6,19.0,125.9,68,0,23.3,7.74
Anuradhapura,2016,10,24.4,33.2,28.8,12.8,154.7,59,0,24.68,7.61
Anuradhapura,2016,11,22.9,31.1,27.0,18.5,205.5,92,0,21.08,7.07
Anuradhapura,2016,12,17.4,27.4,22.4,12.8,100.6,64,0,23.92,6.72
Anuradhapura,2017,1,21.6,29.0,25.3,18.2,188.4,33,0,27.13,7.38
Anuradhapura,2017,2,21.4,29.0,25.2,13.1,174.5,69,0,20.58,7.03
Anuradhapura,2017,3,23.0,31.8,27.4,17.0,65.8,30,0,22.83,7.73
Anuradhapura,2017,4,24.1,34.7,29.4,11.2,22.6,31,0,27.99,8.34
Anuradhapura,2017,5,27.1,37.3,32.2,19.8,135.2,51,0,21.02,8.05
Anuradhapura,2017,6,26.9,37.9,32.4,14.1,86.6,24,0,20.85,8.19
Anuradhapura,2017,7,26.7,39.0,32.9,16.2,154.0,53,0,26.27,9.53
Anuradhapura,2017,8,26.8,39.4,33.1,10.5,95.6,28,0,22.18,9.29
Anuradhapura,2017,9,24.3,33.5,28.9,19.9,130.0,31,0,22.36,7.62
Anuradhapura,2017,10,23.0,31.6,27.3,16.4,158.1,55,0,19.7,7.43
Anuradhapura,2017,11,21.6,32.7,27.2,14.9,193.8,55,0,21.38,7.5
Anuradhapura,2017,12,18.7,26.0,22.4,11.3,149.7,51,0,25.58,6.81
Anuradhapura,2018,1,19.7,27.3,23.5,18.9,145.4,51,0,29.36,7.57
Anuradhapura,2018,2,18.9,27.8,23.4,12.4,201.9,70,0,23.77,7.45
Anuradhapura,2018,3,22.6,31.4,27.0,10.1,22.7,26,0,28.13,7.85
Anuradhapura,2018,4,24.4,34.0,29.2,9.3,65.7,28,0,22.59,7.18
Anuradhapura,2018,5,29.1,38.1,33.6,14.1,196.3,51,0,23.37,8.01
Anuradhapura,2018,6,28.1,33.9,31.0,20.6,125.5,41,0,21.73,7.33
Anuradhapura,2018,7,27.8,38.4,33.1,12.4,119.3,52,0,26.35,8.93
Anuradhapura,2018,8,25.4,38.6,32.0,10.7,145.0,61,0,28.44,9.24
Anuradhapura,2018,9,22.3,31.7,27.0,11.1,143.5,31,0,21.2,7.66
Anuradhapura,2018,10,22.7,34.7,28.7,16.3,198.6,53,0,22.96,7.82
Anuradhapura,2018,11,22.1,33.4,27.8,20.1,149.2,65,0,19.83,7.32
Anuradhapura,2018,12,19.1,29.4,24.2,11.9,220.4,84,0,23.24,7.69
Anuradhapura,2019,1,18.1,28.7,23.4,12.0,166.2,70,0,24.77,7.7
Anuradhapura,2019,2,19.2,29.4,24.3,12.9,214.2,86,0,24.55,7.25
Anuradhapura,2019,3,22.7,32.4,27.5,15.1,62.3,33,0,27.02,7.7
Anuradhapura,2019,4,23.6,31.3,27.5,11.1,10.0,27,0,27.06,8.21
Anuradhapura,2019,5,27.2,36.3,31.8,13.8,94.6,30,0,24.95,8.42
Anuradhapura,2019,6,29.3,37.3,33.3,11.5,88.1,23,0,19.67,7.46
Anuradhapura,2019,7,27.6,34.6,31.1,15.7,97.4,30,0,25.72,8.43
Anuradhapura,2019,8,27.5,35.2,31.4,15.9,85.5,41,0,24.91,8.22
Anuradhapura,2019,9,22.6,30.6,26.6,14.6,123.1,67,0,22.07,7.34
Anuradhapura,2019,10,25.0,31.5,28.2,19.7,195.9,44,0,20.01,7.44
Anuradhapura,2019,11,23.3,31.9,27.6,22.1,237.3,67,0,18.59,7.39
Anuradhapura,2019,12,18.8,29.8,24.3,18.8,262.3,92,0,21.59,6.58
Anuradhapura,2020,1,20.6,29.9,25.2,13.9,156.5,50,0,23.29,7.64
Anuradhapura,2020,2,19.7,28.8,24.2,15.9,130.2,56,0,21.71,7.36
Anuradhapura,2020,3,23.2,31.0,27.1,10.6,57.1,16,0,21.44,7.01
Anuradhapura,2020,4,24.6,33.1,28.9,9.8,70.4,28,0,28.12,8.21
Anuradhapura,2020,5,27.2,37.8,32.5,13.8,127.8,41,0,20.49,7.94
Anuradhapura,2020,6,27.1,36.9,32.0,11.4,131.3,66,0,22.89,8.13
Anuradhapura,2020,7,28.8,37.1,33.0,14.2,132.2,53,0,25.81,8.58
Anuradhapura,2020,8,28.8,36.4,32.6,16.5,140.0,32,0,26.98,8.61
Anuradhapura,2020,9,24.6,31.3,28.0,13.1,119.5,67,0,21.87,7.5
Anuradhapura,2020,10,25.0,34.9,29.9,12.5,184.1,34,0,22.47,7.75
Anuradhapura,2020,11,23.1,34.6,28.9,11.6,238.9,73,0,20.8,7.8
Anuradhapura,2020,12,20.0,30.5,25.2,13.8,147.8,67,0,25.73,8.59
Anuradhapura,2021,1,19.8,27.5,23.6,12.8,224.7,53,0,21.86,6.61
Anuradhapura,2021,2,20.7,29.5,25.1,17.0,236.5,50,0,23.75,7.38
Anuradhapura,2021,3,22.8,31.8,27.3,17.0,89.2,19,0,27.59,8.37
Anuradhapura,2021,4,24.4,34.3,29.3,15.5,31.5,35,0,27.73,8.5
Anuradhapura,2021,5,26.6,34.8,30.7,12.1,77.3,43,0,24.33,8.33
Anuradhapura,2021,6,26.8,35.8,31.3,18.6,77.7,17,0,21.73,8.11
